Timestamp,Friend_1,Friend_2,Friend_3,Happiness_1,Happiness_2,Happiness_3,Happiness_4,Happiness_5,Happiness_6,Happiness_7,Happiness_8,Happiness_9,Happiness_10,Happiness_11,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Depression_1,Depression_2,Depression_3,Depression_4,Depression_5,Depression_6,Depression_7,Depression_8,Depression_9,Commit,NonCommit,Age,Gender,Sex,Mono_or_Poly,Happiness_Rating,Anxiety_Rating,Depression_Rating,Friend_Rating
2022-04-05 14:44:33.355,2.0,2.0,2,3.0,5.0,4.0,7.0,3.0,7.0,2,4.0,4.0,4.0,5.0,2,2,1,3,2,1,3,1,1,2,2,2,2,2,1,2,1.0,0.0,1.0,0.0,3.0,0.0,4.363636363636363,2.0,1.6666666666666667,2.0
2022-04-05 17:01:00.885,2.0,1.0,3,5.0,6.0,6.0,7.0,2.0,7.0,2,4.0,5.0,6.0,3.0,2,2,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1.0,0.0,1.0,0.0,3.0,0.0,4.818181818181818,1.2857142857142858,1.4444444444444444,2.0
2022-04-05 17:04:08.699,5.0,4.0,3,4.0,3.0,4.0,4.0,4.0,5.0,5,4.0,3.0,5.0,4.0,1,0,1,1,1,1,0,0,0,1,2,1,0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,4.090909090909091,0.7142857142857143,0.5555555555555556,4.0
2022-04-08 15:26:40.944,3.0,2.0,2,6.0,7.0,6.0,6.0,4.0,7.0,7,3.0,6.0,7.0,5.0,1,1,1,1,1,1,0,1,1,2,3,3,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.818181818181818,0.8571428571428571,1.1111111111111112,2.3333333333333335
2022-04-08 15:32:20.895,7.0,5.0,7,7.0,7.0,7.0,7.0,7.0,7.0,1,7.0,6.0,7.0,7.0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1.0,0.0,5.0,0.0,0.0,0.0,6.363636363636363,0.8571428571428571,0.3333333333333333,6.333333333333333
2022-04-08 15:34:25.043,5.0,4.0,3,6.0,7.0,6.0,7.0,5.0,6.0,4,5.0,6.0,7.0,5.0,1,0,1,1,2,0,1,1,0,2,1,2,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,5.818181818181818,0.8571428571428571,0.8888888888888888,4.0
2022-04-08 15:39:23.559,6.0,5.0,2,3.0,5.0,4.0,7.0,3.0,5.0,2,4.0,2.0,5.0,4.0,2,1,1,3,2,2,1,2,2,1,2,1,3,1,2,1,1.0,0.0,1.0,1.0,2.0,,4.0,1.7142857142857142,1.6666666666666667,4.333333333333333
2022-04-08 15:48:44.645,3.0,4.0,2,2.0,2.0,2.0,6.0,3.0,6.0,2,2.0,1.0,4.0,5.0,2,2,3,3,1,2,1,3,2,3,3,1,2,2,0,1,0.0,1.0,1.0,1.0,0.0,0.0,3.1818181818181817,2.0,1.8888888888888888,3.0
2022-04-08 16:06:54.395,1.0,1.0,5,5.0,6.0,6.0,7.0,3.0,6.0,5,5.0,4.0,5.0,4.0,1,1,1,1,2,1,0,2,0,1,1,1,0,2,1,0,1.0,0.0,1.0,1.0,0.0,0.0,5.090909090909091,1.0,0.8888888888888888,2.3333333333333335
2022-04-08 16:06:58.883,6.0,4.0,6,5.0,6.0,5.0,7.0,5.0,7.0,4,3.0,5.0,6.0,6.0,2,1,1,0,0,1,1,1,1,1,1,3,1,1,1,0,0.0,0.0,1.0,1.0,2.0,0.0,5.363636363636363,0.8571428571428571,1.1111111111111112,5.333333333333333
