,General_Price,General_Farmiliarity,General_Social,General_Origin,General_Values,General_Reputation,Self_Care_Price,Self_Care_Familiarity,Self_Care_Social,Self_Care_Origin,Self_Care_Values,Self_Care_Reputation,SC_Spend_1,SC_Spend_2,Experience_Price,Experience_Familiarity,Experience_Social,Experience_Origin,Experience_Values,Experience_Reputation,EXP_Spend_1,EXP_Spend_2,Workout_Price,Workout_Familiarity,Workout_Social,Workout_Origin,Workout_Values,Workout_Reputation,WORK_Spend_1,WORK_Spend_2,Gender,Age,Finances,Disposable_Income,General_Quality_1,General_Quality_2,General_Quality_3,Self_Care_Quality_1,Self_Care_Quality_2,Self_Care_Quality_3,Experience_Quality_1,Experience_Quality_2,Experience_Quality_3,Workout_Quality_1,Workout_Quality_2,Workout_Quality_3
0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,,10.0,4.0,3.0,2.0,2.0,2.0,5.0,,175.0,4.0,3.0,2.0,1.0,3.0,4.0,,20.0,Male,21.0,4.0,2.0,2.17,2.0,1.75,2.67,2.6,2.33,3.0,2.8,2.8,2.83,2.6,2.8
1,4.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,86.0,,5.0,3.0,1.0,1.0,1.0,4.0,,233.0,3.0,1.0,2.0,1.0,1.0,4.0,67.0,,Female,21.0,4.0,2.0,2.67,2.4,2.25,2.33,2.2,2.0,2.5,2.0,2.0,2.0,1.8,2.2
2,5.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,30.0,4.0,5.0,4.0,2.0,4.0,5.0,123.0,500.0,4.0,3.0,3.0,3.0,4.0,4.0,,40.0,Female,22.0,4.0,2.0,3.5,3.2,3.25,3.5,3.2,3.33,4.0,4.0,4.0,3.5,3.4,3.6
3,5.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0,9.0,20.0,5.0,3.0,4.0,2.0,2.0,5.0,50.0,300.0,5.0,3.0,4.0,2.0,4.0,5.0,,40.0,Female,22.0,4.0,2.0,2.33,1.8,1.5,2.83,2.4,2.0,3.5,3.2,3.2,3.83,3.6,4.0
4,4.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,24.0,5.0,2.0,1.0,2.0,2.0,4.0,30.0,84.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,15.0,Other,21.0,4.0,2.0,3.0,2.8,2.75,3.33,3.2,3.33,2.67,2.2,2.2,3.17,3.0,3.2
5,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,15.0,4.0,3.0,2.0,2.0,3.0,4.0,123.0,194.0,4.0,4.0,2.0,2.0,3.0,4.0,10.0,14.0,Female,22.0,4.0,2.0,3.0,2.8,2.75,3.17,3.0,3.33,3.0,2.8,2.8,3.17,3.0,3.0
6,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,10.0,30.0,4.0,3.0,5.0,3.0,3.0,5.0,90.0,181.0,4.0,3.0,4.0,3.0,4.0,4.0,20.0,100.0,Female,21.0,4.0,3.0,2.83,2.6,2.75,3.0,2.8,2.67,3.83,3.8,3.8,3.67,3.6,3.8
7,5.0,3.0,1.0,1.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,20.0,50.0,5.0,2.0,5.0,5.0,2.0,2.0,100.0,300.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,50.0,Non-binary,19.0,3.0,2.0,2.83,2.4,2.25,4.33,4.2,4.33,3.5,3.2,3.2,4.33,4.2,4.2
8,4.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,120.0,5.0,3.0,1.0,2.0,1.0,4.0,0.0,500.0,4.0,5.0,1.0,3.0,3.0,4.0,,21.0,Female,19.0,3.0,2.0,2.83,2.6,2.75,2.83,3.0,3.33,2.67,2.2,2.2,3.33,3.2,3.0
9,4.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,0.0,68.0,5.0,2.0,1.0,1.0,1.0,3.0,,220.0,3.0,3.0,1.0,1.0,1.0,1.0,,22.0,Female,21.0,3.0,2.0,3.0,2.8,2.75,2.33,2.2,2.0,2.17,1.6,1.6,1.67,1.4,1.4
