,Row,Seat
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,0,1
51,1,1
52,2,1
53,3,1
54,4,1
55,5,1
56,6,1
57,7,1
58,8,1
59,9,1
60,10,1
61,11,1
62,12,1
63,13,1
64,14,1
65,15,1
66,16,1
67,17,1
68,18,1
69,19,1
70,20,1
71,21,1
72,22,1
73,23,1
74,24,1
75,25,1
76,26,1
77,27,1
78,28,1
79,29,1
80,30,1
81,31,1
82,32,1
83,33,1
84,34,1
85,35,1
86,36,1
87,37,1
88,38,1
89,39,1
90,40,1
91,41,1
92,42,1
93,43,1
94,44,1
95,45,1
96,46,1
97,47,1
98,48,1
99,49,1
100,0,2
101,1,2
102,2,2
103,3,2
104,4,2
105,5,2
106,6,2
107,7,2
108,8,2
109,9,2
110,10,2
111,11,2
112,12,2
113,13,2
114,14,2
115,15,2
116,16,2
117,17,2
118,18,2
119,19,2
120,20,2
121,21,2
122,22,2
123,23,2
124,24,2
125,25,2
126,26,2
127,27,2
128,28,2
129,29,2
130,30,2
131,31,2
132,32,2
133,33,2
134,34,2
135,35,2
136,36,2
137,37,2
138,38,2
139,39,2
140,40,2
141,41,2
142,42,2
143,43,2
144,44,2
145,45,2
146,46,2
147,47,2
148,48,2
149,49,2
150,0,3
151,1,3
152,2,3
153,3,3
154,4,3
155,5,3
156,6,3
157,7,3
158,8,3
159,9,3
160,10,3
161,11,3
162,12,3
163,13,3
164,14,3
165,15,3
166,16,3
167,17,3
168,18,3
169,19,3
170,20,3
171,21,3
172,22,3
173,23,3
174,24,3
175,25,3
176,26,3
177,27,3
178,28,3
179,29,3
180,30,3
181,31,3
182,32,3
183,33,3
184,34,3
185,35,3
186,36,3
187,37,3
188,38,3
189,39,3
190,40,3
191,41,3
192,42,3
193,43,3
194,44,3
195,45,3
196,46,3
197,47,3
198,48,3
199,49,3
200,0,4
201,1,4
202,2,4
203,3,4
204,4,4
205,5,4
206,6,4
207,7,4
208,8,4
209,9,4
210,10,4
211,11,4
212,12,4
213,13,4
214,14,4
215,15,4
216,16,4
217,17,4
218,18,4
219,19,4
220,20,4
221,21,4
222,22,4
223,23,4
224,24,4
225,25,4
226,26,4
227,27,4
228,28,4
229,29,4
230,30,4
231,31,4
232,32,4
233,33,4
234,34,4
235,35,4
236,36,4
237,37,4
238,38,4
239,39,4
240,40,4
241,41,4
242,42,4
243,43,4
244,44,4
245,45,4
246,46,4
247,47,4
248,48,4
249,49,4
250,0,5
251,1,5
252,2,5
253,3,5
254,4,5
255,5,5
256,6,5
257,7,5
258,8,5
259,9,5
260,10,5
261,11,5
262,12,5
263,13,5
264,14,5
265,15,5
266,16,5
267,17,5
268,18,5
269,19,5
270,20,5
271,21,5
272,22,5
273,23,5
274,24,5
275,25,5
276,26,5
277,27,5
278,28,5
279,29,5
280,30,5
281,31,5
282,32,5
283,33,5
284,34,5
285,35,5
286,36,5
287,37,5
288,38,5
289,39,5
290,40,5
291,41,5
292,42,5
293,43,5
294,44,5
295,45,5
296,46,5
297,47,5
298,48,5
299,49,5
300,0,6
301,1,6
302,2,6
303,3,6
304,4,6
305,5,6
306,6,6
307,7,6
308,8,6
309,9,6
310,10,6
311,11,6
312,12,6
313,13,6
314,14,6
315,15,6
316,16,6
317,17,6
318,18,6
319,19,6
320,20,6
321,21,6
322,22,6
323,23,6
324,24,6
325,25,6
326,26,6
327,27,6
328,28,6
329,29,6
330,30,6
331,31,6
332,32,6
333,33,6
334,34,6
335,35,6
336,36,6
337,37,6
338,38,6
339,39,6
340,40,6
341,41,6
342,42,6
343,43,6
344,44,6
345,45,6
346,46,6
347,47,6
348,48,6
349,49,6
350,0,7
351,1,7
352,2,7
353,3,7
354,4,7
355,5,7
356,6,7
357,7,7
358,8,7
359,9,7
360,10,7
361,11,7
362,12,7
363,13,7
364,14,7
365,15,7
366,16,7
367,17,7
368,18,7
369,19,7
370,20,7
371,21,7
372,22,7
373,23,7
374,24,7
375,25,7
376,26,7
377,27,7
378,28,7
379,29,7
380,30,7
381,31,7
382,32,7
383,33,7
384,34,7
385,35,7
386,36,7
387,37,7
388,38,7
389,39,7
390,40,7
391,41,7
392,42,7
393,43,7
394,44,7
395,45,7
396,46,7
397,47,7
398,48,7
399,49,7
