,Seat1,Seat2,backward,forward,WMAAMW_forward,WMAAMW_backward
0,0,0,249,0,0,249
1,1,0,249,0,1,248
2,2,0,249,0,2,247
3,3,0,249,0,3,246
4,4,0,249,0,4,245
5,5,0,249,0,5,244
6,6,0,249,0,6,243
7,7,0,249,0,7,242
8,8,0,249,0,8,241
9,9,0,249,0,9,240
10,0,0,248,1,10,239
11,1,0,248,1,11,238
12,2,0,248,1,12,237
13,3,0,248,1,13,236
14,4,0,248,1,14,235
15,5,0,248,1,15,234
16,6,0,248,1,16,233
17,7,0,248,1,17,232
18,8,0,248,1,18,231
19,9,0,248,1,19,230
20,0,0,247,2,20,229
21,1,0,247,2,21,228
22,2,0,247,2,22,227
23,3,0,247,2,23,226
24,4,0,247,2,24,225
25,5,0,247,2,25,224
26,6,0,247,2,26,223
27,7,0,247,2,27,222
28,8,0,247,2,28,221
29,9,0,247,2,29,220
30,0,0,246,3,30,219
31,1,0,246,3,31,218
32,2,0,246,3,32,217
33,3,0,246,3,33,216
34,4,0,246,3,34,215
35,5,0,246,3,35,214
36,6,0,246,3,36,213
37,7,0,246,3,37,212
38,8,0,246,3,38,211
39,9,0,246,3,39,210
40,0,0,245,4,40,209
41,1,0,245,4,41,208
42,2,0,245,4,42,207
43,3,0,245,4,43,206
44,4,0,245,4,44,205
45,5,0,245,4,45,204
46,6,0,245,4,46,203
47,7,0,245,4,47,202
48,8,0,245,4,48,201
49,9,0,245,4,49,200
50,0,0,244,5,50,199
51,1,0,244,5,51,198
52,2,0,244,5,52,197
53,3,0,244,5,53,196
54,4,0,244,5,54,195
55,5,0,244,5,55,194
56,6,0,244,5,56,193
57,7,0,244,5,57,192
58,8,0,244,5,58,191
59,9,0,244,5,59,190
60,0,0,243,6,60,189
61,1,0,243,6,61,188
62,2,0,243,6,62,187
63,3,0,243,6,63,186
64,4,0,243,6,64,185
65,5,0,243,6,65,184
66,6,0,243,6,66,183
67,7,0,243,6,67,182
68,8,0,243,6,68,181
69,9,0,243,6,69,180
70,0,0,242,7,70,179
71,1,0,242,7,71,178
72,2,0,242,7,72,177
73,3,0,242,7,73,176
74,4,0,242,7,74,175
75,5,0,242,7,75,174
76,6,0,242,7,76,173
77,7,0,242,7,77,172
78,8,0,242,7,78,171
79,9,0,242,7,79,170
80,0,0,241,8,80,169
81,1,0,241,8,81,168
82,2,0,241,8,82,167
83,3,0,241,8,83,166
84,4,0,241,8,84,165
85,5,0,241,8,85,164
86,6,0,241,8,86,163
87,7,0,241,8,87,162
88,8,0,241,8,88,161
89,9,0,241,8,89,160
90,0,0,240,9,90,159
91,1,0,240,9,91,158
92,2,0,240,9,92,157
93,3,0,240,9,93,156
94,4,0,240,9,94,155
95,5,0,240,9,95,154
96,6,0,240,9,96,153
97,7,0,240,9,97,152
98,8,0,240,9,98,151
99,9,0,240,9,99,150
100,0,0,239,10,100,149
101,1,0,239,10,101,148
102,2,0,239,10,102,147
103,3,0,239,10,103,146
104,4,0,239,10,104,145
105,5,0,239,10,105,144
106,6,0,239,10,106,143
107,7,0,239,10,107,142
108,8,0,239,10,108,141
109,9,0,239,10,109,140
110,0,0,238,11,110,139
111,1,0,238,11,111,138
112,2,0,238,11,112,137
113,3,0,238,11,113,136
114,4,0,238,11,114,135
115,5,0,238,11,115,134
116,6,0,238,11,116,133
117,7,0,238,11,117,132
118,8,0,238,11,118,131
119,9,0,238,11,119,130
120,0,0,237,12,120,129
121,1,0,237,12,121,128
122,2,0,237,12,122,127
123,3,0,237,12,123,126
124,4,0,237,12,124,125
125,5,0,237,12,125,124
126,6,0,237,12,126,123
127,7,0,237,12,127,122
128,8,0,237,12,128,121
129,9,0,237,12,129,120
130,0,0,236,13,130,119
131,1,0,236,13,131,118
132,2,0,236,13,132,117
133,3,0,236,13,133,116
134,4,0,236,13,134,115
135,5,0,236,13,135,114
136,6,0,236,13,136,113
137,7,0,236,13,137,112
138,8,0,236,13,138,111
139,9,0,236,13,139,110
140,0,0,235,14,140,109
141,1,0,235,14,141,108
142,2,0,235,14,142,107
143,3,0,235,14,143,106
144,4,0,235,14,144,105
145,5,0,235,14,145,104
146,6,0,235,14,146,103
147,7,0,235,14,147,102
148,8,0,235,14,148,101
149,9,0,235,14,149,100
150,0,0,234,15,150,99
151,1,0,234,15,151,98
152,2,0,234,15,152,97
153,3,0,234,15,153,96
154,4,0,234,15,154,95
155,5,0,234,15,155,94
156,6,0,234,15,156,93
157,7,0,234,15,157,92
158,8,0,234,15,158,91
159,9,0,234,15,159,90
160,0,0,233,16,160,89
161,1,0,233,16,161,88
162,2,0,233,16,162,87
163,3,0,233,16,163,86
164,4,0,233,16,164,85
165,5,0,233,16,165,84
166,6,0,233,16,166,83
167,7,0,233,16,167,82
168,8,0,233,16,168,81
169,9,0,233,16,169,80
170,0,0,232,17,170,79
171,1,0,232,17,171,78
172,2,0,232,17,172,77
173,3,0,232,17,173,76
174,4,0,232,17,174,75
175,5,0,232,17,175,74
176,6,0,232,17,176,73
177,7,0,232,17,177,72
178,8,0,232,17,178,71
179,9,0,232,17,179,70
180,0,0,231,18,180,69
181,1,0,231,18,181,68
182,2,0,231,18,182,67
183,3,0,231,18,183,66
184,4,0,231,18,184,65
185,5,0,231,18,185,64
186,6,0,231,18,186,63
187,7,0,231,18,187,62
188,8,0,231,18,188,61
189,9,0,231,18,189,60
190,0,0,230,19,190,59
191,1,0,230,19,191,58
192,2,0,230,19,192,57
193,3,0,230,19,193,56
194,4,0,230,19,194,55
195,5,0,230,19,195,54
196,6,0,230,19,196,53
197,7,0,230,19,197,52
198,8,0,230,19,198,51
199,9,0,230,19,199,50
200,0,0,229,20,200,49
201,1,0,229,20,201,48
202,2,0,229,20,202,47
203,3,0,229,20,203,46
204,4,0,229,20,204,45
205,5,0,229,20,205,44
206,6,0,229,20,206,43
207,7,0,229,20,207,42
208,8,0,229,20,208,41
209,9,0,229,20,209,40
210,0,0,228,21,210,39
211,1,0,228,21,211,38
212,2,0,228,21,212,37
213,3,0,228,21,213,36
214,4,0,228,21,214,35
215,5,0,228,21,215,34
216,6,0,228,21,216,33
217,7,0,228,21,217,32
218,8,0,228,21,218,31
219,9,0,228,21,219,30
220,0,0,227,22,220,29
221,1,0,227,22,221,28
222,2,0,227,22,222,27
223,3,0,227,22,223,26
224,4,0,227,22,224,25
225,5,0,227,22,225,24
226,6,0,227,22,226,23
227,7,0,227,22,227,22
228,8,0,227,22,228,21
229,9,0,227,22,229,20
230,0,0,226,23,230,19
231,1,0,226,23,231,18
232,2,0,226,23,232,17
233,3,0,226,23,233,16
234,4,0,226,23,234,15
235,5,0,226,23,235,14
236,6,0,226,23,236,13
237,7,0,226,23,237,12
238,8,0,226,23,238,11
239,9,0,226,23,239,10
240,0,0,225,24,240,9
241,1,0,225,24,241,8
242,2,0,225,24,242,7
243,3,0,225,24,243,6
244,4,0,225,24,244,5
245,5,0,225,24,245,4
246,6,0,225,24,246,3
247,7,0,225,24,247,2
